# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Dec  9 14:17:56 CET 2021
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 6.60000 0.1000000015 1.1711064577    0.100 -1.490  3.5110  3.924    0 8.496 13.352 12.158 10.811 9.595 8.100 6.625 5.954 5.696
0.01471 0.00000 6.60000 0.1012239456 1.1812498569    0.101 -1.484  3.5114  3.925    0 8.480 13.332 12.137 10.790 9.576 8.083 6.611 5.939 5.681
0.01471 0.00000 6.60000 0.1060223579 1.2195305824    0.106 -1.459  3.5129  3.925    0 8.417 13.249 12.051 10.705 9.498 8.013 6.551 5.876 5.621
0.01471 0.00000 6.60000 0.1112491861 1.2587461472    0.111 -1.433  3.5146  3.928    0 8.353 13.164 11.960 10.616 9.417 7.942 6.492 5.814 5.560
0.01471 0.00000 6.60000 0.1169292182 1.2987338305    0.117 -1.407  3.5166  3.931    0 8.288 13.073 11.864 10.521 9.331 7.867 6.431 5.749 5.498
0.01471 0.00000 6.60000 0.1199999899 1.3193154335    0.120 -1.393  3.5176  3.932    0 8.252 13.023 11.812 10.470 9.284 7.827 6.398 5.714 5.464
0.01471 0.00000 6.60000 0.1228380799 1.3377376795    0.123 -1.381  3.5185  3.934    0 8.222 12.983 11.770 10.427 9.246 7.793 6.371 5.686 5.436
0.01471 0.00000 6.60000 0.1311037987 1.3883846998    0.131 -1.345  3.5209  3.936    0 8.134 12.865 11.645 10.304 9.134 7.695 6.288 5.599 5.352
0.01471 0.00000 6.60000 0.1400000006 1.4384527206    0.140 -1.309  3.5234  3.939    0 8.044 12.747 11.519 10.177 9.018 7.594 6.205 5.511 5.267
0.01471 0.00000 6.60000 0.1492200792 1.4861569405    0.149 -1.275  3.5258  3.942    0 7.958 12.635 11.397 10.054 8.906 7.499 6.126 5.428 5.186
